trajectory_id,distance_time_ratio,avg_speed,route_deviation_percent,total_idle_minutes,fare_distance_ratio,itinerary_deviation_km,transport_mode_mismatch,schedule_delay_minutes,label,scenario
SCTD-0001,0.242696,16.666927,4.035528,1.956,14.67915,0.139399,0,7.357,0,normal_tourist_movement
SCTD-0002,0.073587,4.508365,1.210306,2.929,0.0,0.087461,0,12.026,0,normal_tourist_movement
SCTD-0003,0.353787,22.922291,2.500822,1.119,17.128978,0.120055,0,3.497,0,normal_tourist_movement
SCTD-0004,0.324877,21.320228,1.914163,1.917,16.148162,0.101984,0,6.445,0,normal_tourist_movement
SCTD-0005,0.283003,17.510938,1.702769,1.022,3.747527,0.090676,0,2.156,0,normal_tourist_movement
SCTD-0006,0.325844,21.026751,1.363787,1.287,4.233557,0.039215,0,-1.465,0,normal_tourist_movement
SCTD-0007,0.08353,5.073379,0.810576,1.168,0.0,0.018029,0,-4.048,0,normal_tourist_movement
SCTD-0008,0.077516,4.844064,1.584152,3.502,0.0,0.013836,0,2.823,0,normal_tourist_movement
SCTD-0009,0.081107,4.969272,1.088957,2.182,0.0,0.07724,0,-0.498,0,normal_tourist_movement
SCTD-0010,0.070127,4.22602,1.806189,0.467,0.0,0.08943,0,14.078,0,normal_tourist_movement
SCTD-0011,0.328768,22.292118,1.170475,2.137,16.965448,0.065796,0,5.083,0,normal_tourist_movement
SCTD-0012,0.291359,17.575768,1.763725,0.148,4.155,0.103266,0,1.005,0,normal_tourist_movement
SCTD-0013,0.167839,12.548572,5.04975,2.253,4.058071,0.023093,0,5.046,0,normal_tourist_movement
SCTD-0014,0.275275,19.048248,2.780435,2.436,16.895113,0.110332,0,7.361,0,normal_tourist_movement
SCTD-0015,0.075054,4.644626,1.912898,1.553,0.0,0.047839,0,3.467,0,normal_tourist_movement
SCTD-0016,0.072967,4.471549,3.180916,1.422,0.0,0.126198,0,5.994,0,normal_tourist_movement
SCTD-0017,0.394236,24.314034,1.619999,0.559,15.159199,0.085202,0,2.668,0,normal_tourist_movement
SCTD-0018,0.075313,4.603941,4.201196,1.032,0.0,0.17351,0,4.17,0,normal_tourist_movement
SCTD-0019,0.386562,24.825069,1.218086,2.03,15.224509,0.143937,0,4.632,0,normal_tourist_movement
SCTD-0020,0.339756,22.655343,1.313578,1.483,14.536471,0.054223,0,3.633,0,normal_tourist_movement
SCTD-0021,0.297198,19.403215,0.873303,2.715,3.725579,0.01465,0,0.357,0,normal_tourist_movement
SCTD-0022,0.076005,4.831805,3.741891,3.433,0.0,0.170341,0,4.194,0,normal_tourist_movement
SCTD-0023,0.229882,18.579135,5.426671,3.266,17.622554,0.154562,0,6.187,0,normal_tourist_movement
SCTD-0024,0.073088,4.471318,0.530949,2.734,0.0,0.010087,0,12.395,0,normal_tourist_movement
SCTD-0025,0.221956,15.041138,3.185749,1.801,4.354881,0.080242,0,4.328,0,normal_tourist_movement
SCTD-0026,0.077575,4.687496,1.376679,0.809,0.0,0.080771,0,4.222,0,normal_tourist_movement
SCTD-0027,0.394677,25.681979,1.088901,2.288,17.147479,0.078346,0,3.736,0,normal_tourist_movement
SCTD-0028,0.300695,18.524548,0.956197,1.099,4.36429,0.010586,0,-0.069,0,normal_tourist_movement
SCTD-0029,0.358173,27.272858,1.652717,3.548,17.349985,0.07895,0,3.507,0,normal_tourist_movement
SCTD-0030,0.076547,4.617453,1.498349,0.762,0.0,0.162715,0,7.204,0,normal_tourist_movement
SCTD-0031,0.293288,17.901984,1.642424,0.364,14.837467,0.040787,0,7.513,0,normal_tourist_movement
SCTD-0032,0.069189,4.247277,1.435171,2.589,0.0,0.06295,0,15.449,0,normal_tourist_movement
SCTD-0033,0.247802,16.093917,2.104099,1.753,4.358791,0.046248,0,4.156,0,normal_tourist_movement
SCTD-0034,0.399208,26.428267,2.331772,1.165,17.41749,0.0805,0,1.456,0,normal_tourist_movement
SCTD-0035,0.3499,21.359892,2.132994,0.311,16.382702,0.101034,0,4.241,0,normal_tourist_movement
SCTD-0036,0.283892,17.714186,1.160606,1.052,15.19152,0.014237,0,10.127,0,normal_tourist_movement
SCTD-0037,0.076046,4.717348,1.899812,3.231,0.0,0.093636,0,5.895,0,normal_tourist_movement
SCTD-0038,0.405395,24.637611,2.003657,0.261,16.172326,0.102648,0,2.232,0,normal_tourist_movement
SCTD-0039,0.365573,26.657051,1.457197,3.676,17.192546,0.055521,0,3.955,0,normal_tourist_movement
SCTD-0040,0.071581,4.297429,2.449497,0.038,0.0,0.095185,0,6.977,0,normal_tourist_movement
SCTD-0041,0.081157,4.923627,1.823382,1.145,0.0,0.151525,0,0.138,0,normal_tourist_movement
SCTD-0042,0.292887,19.728472,1.614145,3.246,4.16774,0.121769,0,1.059,0,normal_tourist_movement
SCTD-0043,0.274121,17.085828,0.784426,1.546,4.068359,0.072481,0,3.65,0,normal_tourist_movement
SCTD-0044,0.071175,4.337169,1.045197,2.539,0.0,0.103416,0,18.962,0,normal_tourist_movement
SCTD-0045,0.081452,4.986142,1.056342,2.533,0.0,0.095039,0,-1.236,0,normal_tourist_movement
