trajectory_id,event_index,event_type,timestamp_minutes,latitude,longitude,planned_latitude,planned_longitude,actual_mode,planned_mode,segment_distance_km,idle_minutes,fare_amount,scheduled_arrival_minutes
SCTD-0001,0,location,540.0,12.9535354,77.5967292,12.9535354,77.5967292,taxi,taxi,0.0,0,0,548.129
SCTD-0001,1,location,543.383,12.9593802,77.6033852,12.9593802,77.6026662,taxi,taxi,0.970886,0,0,548.129
SCTD-0001,2,location,548.721,12.965225,77.6098085,12.965225,77.6086032,taxi,taxi,0.952285,1.956,0,548.129
SCTD-0001,3,location,552.104,12.9710698,77.6159025,12.9710698,77.6145402,taxi,taxi,0.926519,0,0,548.129
SCTD-0001,4,location,555.486,12.9769146,77.6217637,12.9769146,77.6204772,taxi,taxi,0.908702,0,55.17,548.129
SCTD-0002,0,location,540.0,12.9102441,77.5976285,12.9102441,77.5976285,walk,walk,0.0,0,0,669.751
SCTD-0002,1,location,574.712,12.929079,77.6125041,12.929079,77.611768,walk,walk,2.643022,0,0,669.751
SCTD-0002,2,location,612.353,12.947914,77.6270668,12.947914,77.6259075,walk,walk,2.622397,2.929,0,669.751
SCTD-0002,3,location,647.065,12.9667489,77.6411867,12.9667489,77.6400469,walk,walk,2.593738,0,0,669.751
SCTD-0002,4,location,681.777,12.9855838,77.6549936,12.9855838,77.6541864,walk,walk,2.573801,0,0.0,669.751
SCTD-0003,0,location,540.0,12.9501791,77.6232008,12.9501791,77.6232008,taxi,taxi,0.0,0,0,551.635
SCTD-0003,1,location,543.503,12.9525144,77.635694,12.9525144,77.6350396,taxi,taxi,1.378523,0,0,551.635
SCTD-0003,2,location,548.126,12.9548498,77.6479662,12.9548498,77.6468784,taxi,taxi,1.35499,1.119,0,551.635
SCTD-0003,3,location,551.629,12.9571852,77.6599256,12.9571852,77.6587173,taxi,taxi,1.321741,0,0,551.635
SCTD-0003,4,location,555.132,12.9595205,77.671664,12.9595205,77.6705561,taxi,taxi,1.298247,0,91.7,551.635
SCTD-0004,0,location,540.0,12.9500036,77.5856443,12.9500036,77.5856443,taxi,taxi,0.0,0,0,555.918
SCTD-0004,1,location,545.111,12.9502499,77.6029625,12.9502499,77.6021678,taxi,taxi,1.87692,0,0,555.918
SCTD-0004,2,location,552.14,12.9504963,77.619953,12.9504963,77.6186914,taxi,taxi,1.841412,1.917,0,555.918
SCTD-0004,3,location,557.251,12.9507427,77.6364802,12.9507427,77.6352149,taxi,taxi,1.791199,0,0,555.918
SCTD-0004,4,location,562.363,12.9509891,77.6526796,12.9509891,77.6517385,taxi,taxi,1.755692,0,117.32,555.918
SCTD-0005,0,location,540.0,12.9445785,77.5860109,12.9445785,77.5860109,bus,bus,0.0,0,0,571.562
SCTD-0005,1,location,548.174,12.9573708,77.6044375,12.9573708,77.6034721,bus,bus,2.451662,0,0,571.562
SCTD-0005,2,location,557.37,12.9701631,77.6224212,12.9701631,77.6209333,bus,bus,2.412651,1.022,0,571.562
SCTD-0005,3,location,565.544,12.9829554,77.6397784,12.9829554,77.6383945,bus,bus,2.358082,0,0,571.562
SCTD-0005,4,location,573.718,12.9957477,77.6566926,12.9957477,77.6558557,bus,bus,2.319899,0,35.76,571.562
SCTD-0006,0,location,540.0,12.944617,77.6102989,12.944617,77.6102989,bus,bus,0.0,0,0,559.798
SCTD-0006,1,location,544.261,12.9513756,77.622608,12.9513756,77.6221169,bus,bus,1.531045,0,0,559.798
SCTD-0006,2,location,549.81,12.9581341,77.6346825,12.9581341,77.633935,bus,bus,1.508912,1.287,0,559.798
SCTD-0006,3,location,554.071,12.9648926,77.6464251,12.9648926,77.645753,bus,bus,1.477806,0,0,559.798
SCTD-0006,4,location,558.333,12.9716512,77.657933,12.9716512,77.6575711,bus,bus,1.455937,0,25.29,559.798
SCTD-0007,0,location,540.0,12.9523124,77.6100972,12.9523124,77.6100972,walk,walk,0.0,0,0,640.26
SCTD-0007,1,location,563.761,12.9615022,77.6264264,12.9615022,77.6260194,walk,walk,2.04336,0,0,640.26
SCTD-0007,2,location,588.69,12.9706919,77.6425416,12.9706919,77.6419416,walk,walk,2.023251,1.168,0,640.26
SCTD-0007,3,location,612.451,12.9798817,77.658354,12.9798817,77.6578638,walk,walk,1.994951,0,0,640.26
SCTD-0007,4,location,636.212,12.9890715,77.6739523,12.9890715,77.6737859,walk,walk,1.975008,0,0.0,640.26
SCTD-0008,0,location,540.0,12.9364736,77.5956073,12.9364736,77.5956073,walk,walk,0.0,0,0,625.016
SCTD-0008,1,location,561.084,12.9509458,77.601364,12.9509458,77.6006742,walk,walk,1.725927,0,0,625.016
SCTD-0008,2,location,585.67,12.9654179,77.6067353,12.9654179,77.605741,walk,walk,1.711264,3.502,0,625.016
SCTD-0008,3,location,606.754,12.9798901,77.6115616,12.9798901,77.6108079,walk,walk,1.692077,0,0,625.016
SCTD-0008,4,location,627.839,12.9943623,77.6160024,12.9943623,77.6158747,walk,walk,1.679629,0,0.0,625.016
SCTD-0009,0,location,540.0,12.9547875,77.5784095,12.9547875,77.5784095,walk,walk,0.0,0,0,645.929
SCTD-0009,1,location,565.812,12.9565976,77.5983669,12.9565976,77.5978717,walk,walk,2.172018,0,0,645.929
SCTD-0009,2,location,593.807,12.9584076,77.6181386,12.9584076,77.617334,walk,walk,2.151971,2.182,0,645.929
SCTD-0009,3,location,619.619,12.9602177,77.6376478,12.9602177,77.6367962,walk,walk,2.12363,0,0,645.929
SCTD-0009,4,location,645.431,12.9620277,77.6569713,12.9620277,77.6562585,walk,walk,2.103587,0,0.0,645.929
SCTD-0010,0,location,540.0,12.9190738,77.5821024,12.9190738,77.5821024,walk,walk,0.0,0,0,633.322
SCTD-0010,1,location,566.733,12.9307038,77.5953153,12.9307038,77.594521,walk,walk,1.929497,0,0,633.322
SCTD-0010,2,location,593.933,12.9423339,77.6081838,12.9423339,77.6069395,walk,walk,1.901914,0.467,0,633.322
SCTD-0010,3,location,620.667,12.953964,77.6205651,12.953964,77.6193581,walk,walk,1.863506,0,0,633.322
SCTD-0010,4,location,647.4,12.965594,77.632602,12.965594,77.6317767,walk,walk,1.836767,0,0.0,633.322
SCTD-0011,0,location,540.0,12.9207724,77.6212949,12.9207724,77.6212949,taxi,taxi,0.0,0,0,553.482
SCTD-0011,1,location,544.107,12.932165,77.6293432,12.932165,77.6289914,taxi,taxi,1.538049,0,0,553.482
SCTD-0011,2,location,550.351,12.9435575,77.6372743,12.9435575,77.636688,taxi,taxi,1.530865,2.137,0,553.482
SCTD-0011,3,location,554.458,12.9549501,77.6450399,12.9549501,77.6443846,taxi,taxi,1.520838,0,0,553.482
SCTD-0011,4,location,558.565,12.9663426,77.6526883,12.9663426,77.6520811,taxi,taxi,1.51383,0,103.55,553.482
SCTD-0012,0,location,540.0,12.9111917,77.6302134,12.9111917,77.6302134,bus,bus,0.0,0,0,566.593
SCTD-0012,1,location,546.862,12.9256613,77.6419091,12.9256613,77.6410897,bus,bus,2.048285,0,0,566.593
SCTD-0012,2,location,553.873,12.9401308,77.6532644,12.9401308,77.651966,bus,bus,2.025621,0.148,0,566.593
SCTD-0012,3,location,560.736,12.9546004,77.6641383,12.9546004,77.6628424,bus,bus,1.994312,0,0,566.593
SCTD-0012,4,location,567.598,12.9690699,77.6746717,12.9690699,77.6737187,bus,bus,1.972696,0,33.41,566.593
SCTD-0013,0,location,540.0,12.9372901,77.6253279,12.9372901,77.6253279,bus,bus,0.0,0,0,546.362
SCTD-0013,1,location,542.289,12.9415532,77.6254353,12.9415532,77.6248285,bus,bus,0.474179,0,0,546.362
SCTD-0013,2,location,546.831,12.9458163,77.6252185,12.9458163,77.6243292,bus,bus,0.474618,2.253,0,546.362
SCTD-0013,3,location,549.119,12.9500794,77.6245431,12.9500794,77.6238299,bus,bus,0.479652,0,0,546.362
SCTD-0013,4,location,551.408,12.9543425,77.6235436,12.9543425,77.6233305,bus,bus,0.486254,0,7.77,546.362
SCTD-0014,0,location,540.0,12.9626213,77.5963522,12.9626213,77.5963522,taxi,taxi,0.0,0,0,550.967
SCTD-0014,1,location,543.973,12.9632783,77.6084752,12.9632783,77.607718,taxi,taxi,1.315703,0,0,550.967
SCTD-0014,2,location,550.382,12.9639353,77.6203038,12.9639353,77.6190838,taxi,taxi,1.283839,2.436,0,550.967
SCTD-0014,3,location,554.355,12.9645924,77.6317159,12.9645924,77.6304496,taxi,taxi,1.238781,0,0,550.967
SCTD-0014,4,location,558.328,12.9652494,77.6428336,12.9652494,77.6418154,taxi,taxi,1.206923,0,85.24,550.967
SCTD-0015,0,location,540.0,12.9454589,77.6206894,12.9454589,77.6206894,walk,walk,0.0,0,0,587.549
SCTD-0015,1,location,552.366,12.9528878,77.6254666,12.9528878,77.6250375,walk,walk,0.974871,0,0,587.549
SCTD-0015,2,location,566.284,12.9603167,77.6300572,12.9603167,77.6293857,walk,walk,0.964272,1.553,0,587.549
SCTD-0015,3,location,578.65,12.9677455,77.6343837,12.9677455,77.6337338,walk,walk,0.949819,0,0,587.549
SCTD-0015,4,location,591.016,12.9751744,77.6385234,12.9751744,77.6380819,walk,walk,0.93999,0,0.0,587.549
SCTD-0016,0,location,540.0,12.917351,77.6199311,12.917351,77.6199311,walk,walk,0.0,0,0,601.982
SCTD-0016,1,location,556.638,12.9284939,77.6204471,12.9284939,77.619574,walk,walk,1.240299,0,0,601.982
SCTD-0016,2,location,574.699,12.9396368,77.6206222,12.9396368,77.6192169,walk,walk,1.239183,1.422,0,601.982
SCTD-0016,3,location,591.337,12.9507797,77.6203153,12.9507797,77.6188598,walk,walk,1.239484,0,0,601.982
SCTD-0016,4,location,607.976,12.9619226,77.6196674,12.9619226,77.6185028,walk,walk,1.241025,0,0.0,601.982
SCTD-0017,0,location,540.0,12.9102994,77.6049708,12.9102994,77.6049708,taxi,taxi,0.0,0,0,557.93
SCTD-0017,1,location,545.01,12.9249238,77.6167545,12.9249238,77.615983,taxi,taxi,2.067714,0,0,557.93
SCTD-0017,2,location,550.579,12.9395481,77.6282014,12.9395481,77.6269953,taxi,taxi,2.045331,0.559,0,557.93
SCTD-0017,3,location,555.588,12.9541725,77.6391721,12.9541725,77.6380075,taxi,taxi,2.014401,0,0,557.93
SCTD-0017,4,location,560.598,12.9687969,77.649806,12.9687969,77.6490197,taxi,taxi,1.993036,0,123.1,557.93
SCTD-0018,0,location,540.0,12.9574875,77.6027508,12.9574875,77.6027508,walk,walk,0.0,0,0,591.625
SCTD-0018,1,location,553.691,12.966021,77.6071531,12.966021,77.6065073,walk,walk,1.062051,0,0,591.625
SCTD-0018,2,location,568.413,12.9745545,77.6114116,12.9745545,77.6102638,walk,walk,1.055137,1.032,0,591.625
SCTD-0018,3,location,582.104,12.983088,77.6154668,12.983088,77.6140203,walk,walk,1.045682,0,0,591.625
SCTD-0018,4,location,595.795,12.9916215,77.6193782,12.9916215,77.6177768,walk,walk,1.039224,0,0.0,591.625
SCTD-0019,0,location,540.0,12.9453871,77.5763003,12.9453871,77.5763003,taxi,taxi,0.0,0,0,566.259
SCTD-0019,1,location,547.215,12.9587948,77.6004909,12.9587948,77.599837,taxi,taxi,3.015725,0,0,566.259
SCTD-0019,2,location,556.46,12.9722025,77.6244929,12.9722025,77.6233737,taxi,taxi,2.99787,2.03,0,566.259
SCTD-0019,3,location,563.676,12.9856102,77.6482284,12.9856102,77.6469103,taxi,taxi,2.972725,0,0,566.259
SCTD-0019,4,location,570.891,12.999018,77.6717755,12.999018,77.670447,taxi,taxi,2.954952,0,181.8,566.259
SCTD-0020,0,location,540.0,12.9216656,77.6233123,12.9216656,77.6233123,taxi,taxi,0.0,0,0,551.168
SCTD-0020,1,location,543.329,12.9329554,77.6241435,12.9329554,77.6237845,taxi,taxi,1.258594,0,0,551.168
SCTD-0020,2,location,548.142,12.9442451,77.6248378,12.9442451,77.6242567,taxi,taxi,1.257618,1.483,0,551.168
SCTD-0020,3,location,551.472,12.9555349,77.6253381,12.9555349,77.6247289,taxi,taxi,1.256536,0,0,551.168
SCTD-0020,4,location,554.801,12.9668247,77.6257014,12.9668247,77.625201,taxi,taxi,1.255983,0,73.1,551.168
SCTD-0021,0,location,540.0,12.9339447,77.5871927,12.9339447,77.5871927,bus,bus,0.0,0,0,573.168
SCTD-0021,1,location,547.703,12.9449546,77.6077293,12.9449546,77.6071762,bus,bus,2.540077,0,0,573.168
SCTD-0021,2,location,558.12,12.9559645,77.6279617,12.9559645,77.6271598,bus,bus,2.511164,2.715,0,573.168
SCTD-0021,3,location,565.823,12.9669744,77.647764,12.9669744,77.6471433,bus,bus,2.470485,0,0,573.168
SCTD-0021,4,location,573.525,12.9779843,77.6672621,12.9779843,77.6671269,bus,bus,2.441825,0,37.12,573.168
SCTD-0022,0,location,540.0,12.947626,77.6061593,12.947626,77.6061593,walk,walk,0.0,0,0,596.903
SCTD-0022,1,location,554.416,12.9563919,77.6123486,12.9563919,77.6115808,walk,walk,1.183184,0,0,596.903
SCTD-0022,2,location,572.265,12.9651577,77.6183184,12.9651577,77.6170022,walk,walk,1.169851,3.433,0,596.903
SCTD-0022,3,location,586.681,12.9739236,77.6239776,12.9739236,77.6224237,walk,walk,1.151577,0,0,596.903
SCTD-0022,4,location,601.097,12.9826894,77.6294173,12.9826894,77.6278452,walk,walk,1.139075,0,0.0,596.903
SCTD-0023,0,location,540.0,12.9438638,77.6199886,12.9438638,77.6199886,taxi,taxi,0.0,0,0,546.491
SCTD-0023,1,location,542.353,12.9504062,77.6201584,12.9504062,77.619409,taxi,taxi,0.727716,0,0,546.491
SCTD-0023,2,location,547.972,12.9569486,77.6200982,12.9569486,77.6188294,taxi,taxi,0.727512,3.266,0,546.491
SCTD-0023,3,location,550.325,12.963491,77.6197126,12.963491,77.6182499,taxi,taxi,0.728682,0,0,546.491
SCTD-0023,4,location,552.678,12.9700334,77.6190967,12.9700334,77.6176703,taxi,taxi,0.730537,0,51.36,546.491
SCTD-0024,0,location,540.0,12.9640515,77.5774882,12.9640515,77.5774882,walk,walk,0.0,0,0,669.666
SCTD-0024,1,location,574.832,12.9710997,77.6006525,12.9710997,77.6003026,walk,walk,2.629571,0,0,669.666
SCTD-0024,2,location,612.397,12.9781479,77.6236254,12.9781479,77.6231171,walk,walk,2.609727,2.734,0,669.666
SCTD-0024,3,location,647.229,12.9851961,77.6463279,12.9851961,77.6459315,walk,walk,2.581716,0,0,669.666
SCTD-0024,4,location,682.061,12.9922444,77.6688391,12.9922444,77.668746,walk,walk,2.561908,0,0.0,669.666
SCTD-0025,0,location,540.0,12.9470477,77.6020046,12.9470477,77.6020046,bus,bus,0.0,0,0,551.387
SCTD-0025,1,location,543.478,12.9506279,77.6096106,12.9506279,77.6089772,bus,bus,0.91535,0,0,551.387
SCTD-0025,2,location,548.758,12.9542081,77.6169541,12.9542081,77.6159498,bus,bus,0.8898,1.801,0,551.387
SCTD-0025,3,location,552.236,12.9577883,77.6239261,12.9577883,77.6229224,bus,bus,0.853986,0,0,551.387
SCTD-0025,4,location,555.715,12.9613685,77.6306355,12.9613685,77.629895,bus,bus,0.828904,0,15.19,551.387
SCTD-0026,0,location,540.0,12.945809,77.6014152,12.945809,77.6014152,walk,walk,0.0,0,0,650.724
SCTD-0026,1,location,568.534,12.9596611,77.616817,12.9596611,77.6160985,walk,walk,2.271155,0,0,650.724
SCTD-0026,2,location,597.878,12.9735133,77.6319072,12.9735133,77.6307818,walk,walk,2.246386,0.809,0,650.724
SCTD-0026,3,location,626.412,12.9873654,77.6465565,12.9873654,77.6454652,walk,walk,2.211792,0,0,650.724
SCTD-0026,4,location,654.946,13.0012175,77.660894,13.0012175,77.6601485,walk,walk,2.187612,0,0.0,650.724
SCTD-0027,0,location,540.0,12.9213413,77.5962702,12.9213413,77.5962702,taxi,taxi,0.0,0,0,565.624
SCTD-0027,1,location,546.768,12.9395231,77.6159782,12.9395231,77.6152338,taxi,taxi,2.940962,0,0,565.624
SCTD-0027,2,location,555.824,12.9577048,77.6353561,12.9577048,77.6341974,taxi,taxi,2.914972,2.288,0,565.624
SCTD-0027,3,location,562.592,12.9758865,77.654267,12.9758865,77.6531609,taxi,taxi,2.878623,0,0,565.624
SCTD-0027,4,location,569.36,12.9940682,77.6728476,12.9940682,77.6721245,taxi,taxi,2.853152,0,198.7,565.624
SCTD-0028,0,location,540.0,12.9063681,77.5789658,12.9063681,77.5789658,bus,bus,0.0,0,0,582.231
SCTD-0028,1,location,550.266,12.9273993,77.5994584,12.9273993,77.5986781,bus,bus,3.225174,0,0,582.231
SCTD-0028,2,location,561.631,12.9484304,77.6195082,12.9484304,77.6183903,bus,bus,3.192196,1.099,0,582.231
SCTD-0028,3,location,571.896,12.9694615,77.6389318,12.9694615,77.6381025,bus,bus,3.146272,0,0,582.231
SCTD-0028,4,location,582.162,12.9904926,77.6579124,12.9904926,77.6578147,bus,bus,3.11425,0,55.33,582.231
SCTD-0029,0,location,540.0,12.9236825,77.5933222,12.9236825,77.5933222,taxi,taxi,0.0,0,0,553.227
SCTD-0029,1,location,543.297,12.9351956,77.6008651,12.9351956,77.6003216,taxi,taxi,1.518936,0,0,553.227
