trajectory_id,split
SCTD-0107,train
SCTD-0133,train
SCTD-0263,train
SCTD-0214,train
SCTD-0212,train
SCTD-0056,train
SCTD-0068,train
SCTD-0011,train
SCTD-0069,train
SCTD-0160,train
SCTD-0254,train
SCTD-0114,train
SCTD-0144,train
SCTD-0210,train
SCTD-0290,train
SCTD-0073,train
SCTD-0271,train
SCTD-0141,train
SCTD-0061,train
SCTD-0077,train
SCTD-0153,train
SCTD-0149,train
SCTD-0235,train
SCTD-0118,train
SCTD-0220,train
SCTD-0021,train
SCTD-0178,train
SCTD-0067,train
SCTD-0092,train
SCTD-0074,train
SCTD-0048,train
SCTD-0050,train
SCTD-0072,train
SCTD-0057,train
SCTD-0017,train
SCTD-0175,train
SCTD-0148,train
SCTD-0124,train
SCTD-0199,train
SCTD-0076,train
SCTD-0087,train
SCTD-0079,train
SCTD-0104,train
SCTD-0066,train
SCTD-0279,train
SCTD-0108,train
SCTD-0274,train
SCTD-0243,train
SCTD-0151,train
SCTD-0015,train
SCTD-0256,train
SCTD-0162,train
SCTD-0007,train
SCTD-0126,train
SCTD-0219,train
SCTD-0269,train
SCTD-0049,train
SCTD-0245,train
SCTD-0174,train
SCTD-0221,train
SCTD-0218,train
SCTD-0099,train
SCTD-0130,train
SCTD-0226,train
SCTD-0237,train
SCTD-0247,train
SCTD-0138,train
SCTD-0185,train
SCTD-0143,train
SCTD-0042,train
SCTD-0119,train
SCTD-0236,train
SCTD-0082,train
SCTD-0078,train
SCTD-0045,train
SCTD-0167,train
SCTD-0275,train
SCTD-0181,train
SCTD-0100,train
SCTD-0196,train
SCTD-0084,train
SCTD-0046,train
SCTD-0136,train
SCTD-0246,train
SCTD-0159,train
SCTD-0205,train
SCTD-0128,train
SCTD-0018,train
SCTD-0208,train
SCTD-0207,train
SCTD-0085,train
SCTD-0006,train
SCTD-0146,train
SCTD-0282,train
SCTD-0265,train
SCTD-0091,train
SCTD-0103,train
SCTD-0080,train
SCTD-0004,train
SCTD-0016,train
SCTD-0147,train
SCTD-0164,train
SCTD-0249,train
SCTD-0225,train
SCTD-0173,train
SCTD-0267,train
SCTD-0195,train
SCTD-0171,train
SCTD-0259,train
SCTD-0187,train
SCTD-0287,train
SCTD-0262,train
SCTD-0215,train
SCTD-0180,train
SCTD-0105,train
SCTD-0086,train
SCTD-0166,train
SCTD-0058,train
SCTD-0200,train
SCTD-0213,train
SCTD-0081,train
SCTD-0106,train
SCTD-0053,train
SCTD-0098,train
SCTD-0047,train
SCTD-0037,train
SCTD-0194,train
SCTD-0183,train
SCTD-0137,train
SCTD-0163,train
SCTD-0211,train
SCTD-0155,train
SCTD-0036,train
SCTD-0158,train
SCTD-0032,train
SCTD-0233,train
SCTD-0010,train
SCTD-0023,train
SCTD-0230,train
SCTD-0030,train
SCTD-0139,train
SCTD-0244,train
SCTD-0165,train
SCTD-0152,train
SCTD-0169,train
SCTD-0268,train
SCTD-0255,train
SCTD-0113,train
SCTD-0090,train
SCTD-0033,train
SCTD-0202,train
SCTD-0242,train
SCTD-0044,train
SCTD-0012,train
SCTD-0278,train
SCTD-0177,train
SCTD-0258,train
SCTD-0059,train
SCTD-0179,train
SCTD-0115,train
SCTD-0008,train
SCTD-0270,train
